"","protein1","protein2"
"4512372","CD34","Tim-3"
"4512443","CD34","CD127"
"4512452","CD34","FABP4"
"4512479","CD34","Her2"
"4512498","CD34","ICOS"
"4512537","CD34","CD45"
"4512558","CD34","LAG3"
"4512623","CD34","CD123"
"4512703","CD34","IL-1b"
"4512763","CD34","4-1BB"
"4512778","CD34","CTLA4"
"4512803","CD34","VISTA"
"4512896","CD34","CD4"
"4512941","CD34","TCF7"
"4512969","CD34","CD68"
"4512987","CD34","CD3"
"4513009","CD34","EpCAM"
"4513059","CD34","IL-18"
"4513123","CD34","GZMA"
"4513145","CD34","IDO1"
"4513183","CD34","ICAM1"
"4513200","CD34","CD31"
"4513234","CD34","Vimentin"
"4513379","CD34","FOXP3"
"4513504","CD34","iNOS"
"4513539","CD34","Fibronectin"
"4513738","CD34","CD27"
"4513765","CD34","p53"
"4513807","CD34","Ki-67"
"4513823","CD34","CD15"
"4513861","CD34","NF-kB p65"
"4627044","Tim-3","CD40"
"4627082","Tim-3","GZMB"
"4627093","Tim-3","HLA-DR"
"4627210","Tim-3","CD127"
"4627270","Tim-3","pan-RAS"
"4627304","Tim-3","LAG3"
"4627318","Tim-3","CD45"
"4627339","Tim-3","ICOS"
"4627353","Tim-3","Her2"
"4627368","Tim-3","FABP4"
"4627433","Tim-3","PD-L2"
"4627476","Tim-3","EGFR"
"4627508","Tim-3","B7-H3"
"4627542","Tim-3","PD-L1"
"4627563","Tim-3","CD34"
"4627581","Tim-3","SMA"
"4627590","Tim-3","CCR7"
"4627725","Tim-3","CD38"
"4627748","Tim-3","FOXP3"
